2026-04-12 00:41:16.964 | INFO     | b1013d40-b458-4ca5-a51f-0a41b34ba985 | - | - | - | 422 | 19.46ms | -B | -B
2026-04-12 00:44:56.726 | INFO     | 4ff7850d-6d91-4560-a433-ba4579c8f3e4 | - | - | POST | - | -ms | -B | -B
2026-04-12 00:44:57.156 | INFO     | - | - | - | - | - | -ms | -B | -B
2026-04-12 00:44:57.158 | INFO     | 4ff7850d-6d91-4560-a433-ba4579c8f3e4 | - | /api/v1/auth/login | POST | 200 | 431.82ms | 0B | 0B
2026-04-12 00:44:57.159 | INFO     | 4ff7850d-6d91-4560-a433-ba4579c8f3e4 | - | - | - | 200 | 431.82ms | -B | -B
2026-04-12 00:48:28.139 | INFO     | 0b04051c-4a7f-42d3-bf94-d006674c86b4 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 00:48:28.143 | INFO     | 0b04051c-4a7f-42d3-bf94-d006674c86b4 | - | /api/v1/auth/logout | OPTIONS | 200 | 3.91ms | 0B | 0B
2026-04-12 00:48:28.144 | INFO     | 0b04051c-4a7f-42d3-bf94-d006674c86b4 | - | - | - | 200 | 3.91ms | -B | -B
2026-04-12 00:48:28.148 | INFO     | 6351a2ea-b570-4632-8d6e-b53b5913adf6 | - | - | POST | - | -ms | -B | -B
2026-04-12 00:48:28.153 | INFO     | 6351a2ea-b570-4632-8d6e-b53b5913adf6 | - | /api/v1/auth/logout | POST | 200 | 4.72ms | 0B | 0B
2026-04-12 00:48:28.154 | INFO     | 6351a2ea-b570-4632-8d6e-b53b5913adf6 | - | - | - | 200 | 4.72ms | -B | -B
2026-04-12 00:48:36.365 | INFO     | 3e4ff150-edc8-4109-bd5f-cd0719a11b92 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 00:48:36.366 | INFO     | 3e4ff150-edc8-4109-bd5f-cd0719a11b92 | - | /api/v1/auth/login | OPTIONS | 200 | 1.19ms | 0B | 0B
2026-04-12 00:48:36.367 | INFO     | 3e4ff150-edc8-4109-bd5f-cd0719a11b92 | - | - | - | 200 | 1.19ms | -B | -B
2026-04-12 00:48:36.369 | INFO     | e72531ec-268f-4ce0-8b92-ded103255b78 | - | - | POST | - | -ms | -B | -B
2026-04-12 00:48:36.838 | INFO     | - | - | - | - | - | -ms | -B | -B
2026-04-12 00:48:36.840 | INFO     | e72531ec-268f-4ce0-8b92-ded103255b78 | - | /api/v1/auth/login | POST | 200 | 471.81ms | 0B | 0B
2026-04-12 00:48:36.841 | INFO     | e72531ec-268f-4ce0-8b92-ded103255b78 | - | - | - | 200 | 471.81ms | -B | -B
2026-04-12 00:48:36.857 | INFO     | 7488b368-0656-49b2-9e4f-f8f44e4db931 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 00:48:36.859 | INFO     | 4890a50a-338f-4af7-b11c-abbd774ae728 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 00:48:36.860 | INFO     | 7488b368-0656-49b2-9e4f-f8f44e4db931 | - | /api/v1/auth/profile | OPTIONS | 200 | 3.76ms | 0B | 0B
2026-04-12 00:48:36.861 | INFO     | 7488b368-0656-49b2-9e4f-f8f44e4db931 | - | - | - | 200 | 3.76ms | -B | -B
2026-04-12 00:48:36.863 | INFO     | 4890a50a-338f-4af7-b11c-abbd774ae728 | - | /api/v1/users/me/permissions | OPTIONS | 200 | 3.99ms | 0B | 0B
2026-04-12 00:48:36.863 | INFO     | 4890a50a-338f-4af7-b11c-abbd774ae728 | - | - | - | 200 | 3.99ms | -B | -B
2026-04-12 00:48:36.865 | INFO     | da9ca346-3323-46be-a388-15c7f5ab97e4 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 00:48:36.867 | INFO     | 861da509-58ff-4dd9-9b62-1c483a1ab948 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:36.869 | INFO     | da9ca346-3323-46be-a388-15c7f5ab97e4 | - | /api/v1/users/me/roles | OPTIONS | 200 | 4.18ms | 0B | 0B
2026-04-12 00:48:36.870 | INFO     | da9ca346-3323-46be-a388-15c7f5ab97e4 | - | - | - | 200 | 4.18ms | -B | -B
2026-04-12 00:48:36.881 | INFO     | 97c3f57d-b22b-4011-83f8-841cc7370e90 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:36.889 | INFO     | 861da509-58ff-4dd9-9b62-1c483a1ab948 | - | /api/v1/auth/profile | GET | 200 | 21.48ms | 0B | 0B
2026-04-12 00:48:36.889 | INFO     | 861da509-58ff-4dd9-9b62-1c483a1ab948 | - | - | - | 200 | 21.48ms | -B | -B
2026-04-12 00:48:36.893 | INFO     | 2ba3dde3-3337-4ac1-9c7f-a99424cb0b6c | - | - | GET | - | -ms | -B | -B
2026-04-12 00:48:36.920 | INFO     | 2ba3dde3-3337-4ac1-9c7f-a99424cb0b6c | - | /api/v1/users/me/roles | GET | 422 | 27.42ms | 0B | 0B
2026-04-12 00:48:36.928 | INFO     | 2ba3dde3-3337-4ac1-9c7f-a99424cb0b6c | - | - | - | 422 | 27.42ms | -B | -B
2026-04-12 00:48:37.052 | INFO     | 97c3f57d-b22b-4011-83f8-841cc7370e90 | - | /api/v1/users/me/permissions | GET | 200 | 171.1ms | 0B | 0B
2026-04-12 00:48:37.053 | INFO     | 97c3f57d-b22b-4011-83f8-841cc7370e90 | - | - | - | 200 | 171.1ms | -B | -B
2026-04-12 00:48:37.116 | INFO     | 1e80a738-1fc5-4d50-a995-a561d8903d02 | - | - | OPTIONS | - | -ms | -B | -B
