2026-04-12 23:54:47.437 | INFO     | App.Core.Middleware:logging_middleware:147 | e575f1d2-283b-440e-95c0-3af4e90c0465 | - - Request received
2026-04-12 23:54:47.445 | INFO     | App.Core.Database:health_check:43 | - | - - 数据库健康检查成功，延迟: 2.76ms
2026-04-12 23:54:47.447 | INFO     | App.Utils.Logger:log_performance:110 | e575f1d2-283b-440e-95c0-3af4e90c0465 | - - Performance log
2026-04-12 23:54:47.448 | INFO     | App.Core.Middleware:logging_middleware:202 | e575f1d2-283b-440e-95c0-3af4e90c0465 | - - Response sent
2026-04-12 23:54:57.503 | INFO     | App.Core.Middleware:logging_middleware:147 | 901e4919-1eee-4743-b272-89f8c595013a | - - Request received
2026-04-12 23:54:57.513 | INFO     | App.Utils.Logger:log_performance:110 | 901e4919-1eee-4743-b272-89f8c595013a | - - Performance log
2026-04-12 23:54:57.514 | INFO     | App.Core.Middleware:logging_middleware:202 | 901e4919-1eee-4743-b272-89f8c595013a | - - Response sent
2026-04-12 23:55:23.878 | INFO     | App.Core.Middleware:logging_middleware:147 | 163776ae-df5e-4f43-86c1-5cba862368a0 | - - Request received
2026-04-12 23:55:23.934 | INFO     | App.Utils.Logger:log_performance:110 | 163776ae-df5e-4f43-86c1-5cba862368a0 | - - Performance log
2026-04-12 23:55:23.935 | INFO     | App.Core.Middleware:logging_middleware:202 | 163776ae-df5e-4f43-86c1-5cba862368a0 | - - Response sent
2026-04-12 23:55:59.278 | INFO     | App.Core.Middleware:logging_middleware:147 | b8473b14-3c0c-463d-b3f8-377e61661562 | - - Request received
2026-04-12 23:55:59.323 | INFO     | App.Utils.Logger:log_performance:110 | b8473b14-3c0c-463d-b3f8-377e61661562 | - - Performance log
2026-04-12 23:55:59.323 | INFO     | App.Core.Middleware:logging_middleware:202 | b8473b14-3c0c-463d-b3f8-377e61661562 | - - Response sent
2026-04-12 23:56:09.510 | INFO     | App.Core.Middleware:logging_middleware:147 | 9fca509f-f069-4f12-bf24-c2f2ea44afe8 | - - Request received
2026-04-12 23:56:09.552 | INFO     | App.Utils.Logger:log_performance:110 | 9fca509f-f069-4f12-bf24-c2f2ea44afe8 | - - Performance log
2026-04-12 23:56:09.553 | INFO     | App.Core.Middleware:logging_middleware:202 | 9fca509f-f069-4f12-bf24-c2f2ea44afe8 | - - Response sent
2026-04-12 23:56:26.294 | INFO     | App.Core.Middleware:logging_middleware:147 | 0d8d0340-a485-40f7-8db8-0dee6fb1620a | - - Request received
2026-04-12 23:56:26.335 | INFO     | App.Utils.Logger:log_performance:110 | 0d8d0340-a485-40f7-8db8-0dee6fb1620a | - - Performance log
2026-04-12 23:56:26.336 | INFO     | App.Core.Middleware:logging_middleware:202 | 0d8d0340-a485-40f7-8db8-0dee6fb1620a | - - Response sent
2026-04-12 23:56:37.945 | INFO     | App.Core.Middleware:logging_middleware:147 | fe8e19d0-899a-4105-ad38-eaff55a6a1e3 | - - Request received
2026-04-12 23:56:37.973 | INFO     | App.Utils.Logger:log_performance:110 | fe8e19d0-899a-4105-ad38-eaff55a6a1e3 | - - Performance log
2026-04-12 23:56:37.973 | INFO     | App.Core.Middleware:logging_middleware:202 | fe8e19d0-899a-4105-ad38-eaff55a6a1e3 | - - Response sent
2026-04-12 23:56:52.972 | INFO     | App.Core.Middleware:logging_middleware:147 | 7a21975c-5360-4124-9822-2724bae028ee | - - Request received
2026-04-12 23:56:52.981 | INFO     | App.Utils.Logger:log_performance:110 | 7a21975c-5360-4124-9822-2724bae028ee | - - Performance log
2026-04-12 23:56:52.982 | INFO     | App.Core.Middleware:logging_middleware:202 | 7a21975c-5360-4124-9822-2724bae028ee | - - Response sent
2026-04-13 00:46:43.587 | INFO     | App.Core.Middleware:logging_middleware:147 | 2dc2dedc-c6ab-4ded-ac88-f70a8202a804 | - - Request received
2026-04-13 00:46:43.588 | INFO     | App.Utils.Logger:log_performance:110 | 2dc2dedc-c6ab-4ded-ac88-f70a8202a804 | - - Performance log
2026-04-13 00:46:43.589 | INFO     | App.Core.Middleware:logging_middleware:202 | 2dc2dedc-c6ab-4ded-ac88-f70a8202a804 | - - Response sent
2026-04-13 00:46:43.673 | INFO     | App.Core.Middleware:logging_middleware:147 | 6637f546-067a-43a2-a006-9bf81d5ba15f | - - Request received
2026-04-13 00:46:43.783 | INFO     | App.Utils.Logger:log_performance:110 | 6637f546-067a-43a2-a006-9bf81d5ba15f | - - Performance log
2026-04-13 00:46:43.784 | INFO     | App.Core.Middleware:logging_middleware:202 | 6637f546-067a-43a2-a006-9bf81d5ba15f | - - Response sent
2026-04-13 00:46:58.541 | INFO     | App.Core.Middleware:logging_middleware:147 | 15b55512-547a-4b47-af37-ffdfd7cb2d4a | - - Request received
2026-04-13 00:46:58.557 | ERROR    | App.Main:custom_exception_handler:99 | - | - - Custom Exception: 用户名或密码错误, Code: 40100
2026-04-13 00:46:58.559 | INFO     | App.Utils.Logger:log_performance:110 | 15b55512-547a-4b47-af37-ffdfd7cb2d4a | - - Performance log
2026-04-13 00:46:58.560 | INFO     | App.Core.Middleware:logging_middleware:202 | 15b55512-547a-4b47-af37-ffdfd7cb2d4a | - - Response sent
2026-04-13 00:47:49.522 | INFO     | App.Core.Middleware:logging_middleware:147 | 91dbde1f-a6c5-4492-b586-7d63c06754bb | - - Request received
2026-04-13 00:47:49.949 | INFO     | App.Services.AuthService:login:49 | - | - - 用户 admin 登录成功，IP: 127.0.0.1
2026-04-13 00:47:49.952 | INFO     | App.Utils.Logger:log_performance:110 | 91dbde1f-a6c5-4492-b586-7d63c06754bb | - - Performance log
2026-04-13 00:47:49.952 | INFO     | App.Core.Middleware:logging_middleware:202 | 91dbde1f-a6c5-4492-b586-7d63c06754bb | - - Response sent
2026-04-13 00:48:03.386 | INFO     | App.Core.Middleware:logging_middleware:147 | 62dc8d60-d7e0-4dc3-b26b-b6cfe42f869b | - - Request received
2026-04-13 00:48:03.429 | ERROR    | App.Main:custom_exception_handler:99 | - | - - Custom Exception: 缺少权限：user:view, Code: 40300
2026-04-13 00:48:03.431 | INFO     | App.Utils.Logger:log_performance:110 | 62dc8d60-d7e0-4dc3-b26b-b6cfe42f869b | - - Performance log
2026-04-13 00:48:03.432 | INFO     | App.Core.Middleware:logging_middleware:202 | 62dc8d60-d7e0-4dc3-b26b-b6cfe42f869b | - - Response sent
2026-04-13 00:48:11.207 | INFO     | App.Core.Middleware:logging_middleware:147 | c0f6040f-e299-49db-8209-aded7cae6f4f | - - Request received
2026-04-13 00:48:11.221 | ERROR    | App.Main:custom_exception_handler:99 | - | - - Custom Exception: 缺少权限：role:view, Code: 40300
2026-04-13 00:48:11.223 | INFO     | App.Utils.Logger:log_performance:110 | c0f6040f-e299-49db-8209-aded7cae6f4f | - - Performance log
2026-04-13 00:48:11.224 | INFO     | App.Core.Middleware:logging_middleware:202 | c0f6040f-e299-49db-8209-aded7cae6f4f | - - Response sent
2026-04-13 00:48:19.418 | INFO     | App.Core.Middleware:logging_middleware:147 | d812d329-2b38-4aa6-a4f5-6c87a742de05 | - - Request received
2026-04-13 00:48:19.434 | ERROR    | App.Main:custom_exception_handler:99 | - | - - Custom Exception: 缺少权限：permission:view, Code: 40300
2026-04-13 00:48:19.437 | INFO     | App.Utils.Logger:log_performance:110 | d812d329-2b38-4aa6-a4f5-6c87a742de05 | - - Performance log
2026-04-13 00:48:19.438 | INFO     | App.Core.Middleware:logging_middleware:202 | d812d329-2b38-4aa6-a4f5-6c87a742de05 | - - Response sent
2026-04-13 00:58:54.236 | INFO     | App.Core.Middleware:logging_middleware:147 | 2df44209-3dcb-4fa8-ab55-b2d40e7607ec | - - Request received
2026-04-13 00:58:54.252 | ERROR    | App.Main:custom_exception_handler:99 | - | - - Custom Exception: 缺少权限：permission:view, Code: 40300
2026-04-13 00:58:54.253 | INFO     | App.Utils.Logger:log_performance:110 | 2df44209-3dcb-4fa8-ab55-b2d40e7607ec | - - Performance log
2026-04-13 00:58:54.254 | INFO     | App.Core.Middleware:logging_middleware:202 | 2df44209-3dcb-4fa8-ab55-b2d40e7607ec | - - Response sent
2026-04-13 00:59:08.779 | INFO     | App.Core.Middleware:logging_middleware:147 | daef58ef-fd2e-4f2c-a920-23af9e3d85eb | - - Request received
2026-04-13 00:59:08.780 | INFO     | App.Utils.Logger:log_performance:110 | daef58ef-fd2e-4f2c-a920-23af9e3d85eb | - - Performance log
